condition,level,offered_load,n_replicates,throughput_mean,throughput_ci95,throughput_cov_mean,latency_p95_mean,latency_p99_mean,saturation_gap_mean,settling_time_s_mean,settling_time_s_ci95,supervisor_pods_end_mean,rebalances_mean
static,1,1000,3,1001.8883333333333,6.538369601242488,0.055394167128021,62.84666666666667,67.10266666666666,-1.888333333333435,585.0,,2.0,0.0
static,2,4000,3,2484.5600000000004,49.02659547091755,0.0534790453709359,221.41,232.20199999999997,1515.4399999999998,517.5,476.475,2.0,0.0
static,3,8000,3,3384.403333333333,123.84149519445258,0.052516028452838724,430.3500000000001,443.77666666666664,4615.596666666666,585.0,,2.0,0.0
keda_only,1,1000,3,998.06,18.933970123541663,0.08251513950956098,59.946666666666665,62.682666666666655,1.9400000000000166,585.0,,2.0,2.0
keda_only,2,4000,3,3209.661666666667,24.13413204985006,0.09716486617551195,90.52,92.85066666666665,790.3383333333335,,,4.0,2.0
keda_only,3,8000,3,5567.516666666666,567.5978389676807,0.09125895014329176,113.50833333333334,117.18166666666667,2432.483333333333,585.0,,5.0,2.0
aristo_only,1,1000,3,1007.1616666666665,59.20123912616502,0.07193057955427064,49.461666666666666,51.41233333333333,-7.161666666666633,585.0,,2.0,2.0
aristo_only,2,4000,3,3468.6200000000003,135.1025187000625,0.06616134963130936,63.900000000000006,65.42,531.38,,,2.0,2.0
aristo_only,3,8000,3,6210.718333333333,174.09753714724752,0.06820827000269392,73.84833333333333,77.11633333333332,1789.2816666666674,580.0,21.515000000000004,2.0,2.0
dynamix,1,1000,3,994.9900000000001,9.396030182545623,0.04088884194114536,41.96666666666667,42.98,5.009999999999953,515.0,130.8706358393662,2.0,4.0
dynamix,2,4000,3,3867.1666666666665,77.17851085029827,0.04418310687091853,43.550000000000004,44.81666666666666,132.83333333333334,565.0,56.92333945755466,4.0,4.0
dynamix,3,8000,3,7539.803333333332,130.59994906786898,0.042621771695807435,44.59,45.958,460.1966666666676,555.0,,5.0,4.0
